Year,Real GDP Growth Rate,,,,,,,,,,,,,,,,,,,,,,,
2000,4,,,,,,,,,,,,,,,,,,,,,,,
2001,4.9,,,,,,,,,,,,,,,,,,,,,,,
2002,3.9,,,,,,,,,,,,,,,,,,,,,,,
2003,7.9,,,,,,,,,,,,,,,,,,,,,,,
2004,7.8,,,,,,,,,,,,,,,,,,,,,,,
2005,9.3,,,,,,,,,,,,,,,,,,,,,,,
2006,9.3,,,,,,,,,,,,,,,,,,,,,,,
2007,9.8,,,,,,,,,,,,,,,,,,,,,,,
2008,3.9,,,,,,,,,,,,,,,,,,,,,,,
2009,8.5,,,,,,,,,,,,,,,,,,,,,,,
2010,10.3,,,,,,,,,,,,,,,,,,,,,,,
2011,6.6,,,,,,,,,,,,,,,,,,,,,,,
2012,5.5,,,,,,,,,,,,,,,,,,,,,,,
2013,6.4,,,,,,,,,,,,,,,,,,,,,,,
2014,7.4,,,,,,,,,,,,,,,,,,,,,,,
2015,8,,,,,,,,,,,,,,,,,,,,,,,
2016,8.3,,,,,,,,,,,,,,,,,,,,,,,
2017,6.8,,,,,,,,,,,,,,,,,,,,,,,
2018,6.5,,,,,,,,,,,,,,,,,,,,,,,
2019,3.9,,,,,,,,,,,,,,,,,,,,,,,
2020,-5.8,,,,,,,,,,,,,,,,,,,,,,,
2021,9.1,,,,,,,,,,,,,,,,,,,,,,,
2022,7.2,,,,,,,,,,,,,,,,,,,,,,,
2023,6.3,,,,,,,,,,,,,,,,,,,,,,,